WEEK,UNITS,PRICE,ADS
1,91,2.67,1
2,95,2.67,1
3,42,3.29,0
4,41,3.29,0
5,45,3.29,0
6,36,3.29,0
7,35,3.29,0
8,33,3.29,0
9,39,3.29,0
10,88,2.5,0
11,70,2.49,1
12,54,2.49,0
13,39,3.29,0
14,38,3.29,0
15,35,3.29,0
16,35,3.29,0
17,38,3.29,0
18,41,3.29,0
19,41,2.99,0
20,37,2.99,0
21,38,2.99,0
22,116,2.5,1
23,117,2.48,1
24,42,2.94,0
25,39,2.99,0
26,38,3.19,0
27,38,3.19,0
28,34,3.19,0
29,37,3.19,0
30,118,1.63,0
31,62,2.89,0
32,110,2.5,1
33,35,3.19,0
34,34,3.19,0
35,43,3.19,0
36,46,3.16,0
37,38,3.19,0
38,33,3.19,0
39,45,3.19,0
40,48,2.49,0
41,47,2.49,0
42,44,2.49,0
43,42,2.49,0
44,42,3.19,0
45,41,3.19,0
46,84,2.5,1
47,81,2.51,1
48,123,1.68,0
49,45,3.19,0
50,41,3.19,0
51,38,3.19,0
52,41,2.99,0
53,52,2.99,0
54,46,2.99,0
55,44,2.99,0
56,41,2.99,0
57,56,2.99,0
58,48,2.99,0
59,44,2.99,0
60,104,2.49,1
61,52,2.99,0
62,37,2.99,0
63,38,2.99,0
64,40,2.99,0
65,39,2.99,0
66,52,2.99,0
67,50,2.99,0
68,148,1.98,1
69,126,1.98,1
70,169,1.97,1
71,184,1.97,1
72,43,2.99,0
73,44,2.99,0
74,60,2.99,0
75,103,2.52,0
76,83,2.51,1
77,39,2.92,0
78,45,2.99,0
79,111,2.99,1
80,43,2.99,0
81,44,2.99,0
82,38,2.99,0
83,52,2.99,0
84,42,2.99,0
85,34,2.99,0
86,35,2.99,0
87,38,3.07,0
88,39,3.09,0
89,36,3.09,0
90,37,3.09,0
91,40,3.09,0
92,178,1.99,1
93,102,1.99,1
94,35,3.09,0
95,41,3.09,0
96,46,3.09,0
97,41,3.09,0
98,40,3.32,0
99,37,3.32,0
100,35,3.32,0
101,44,3.32,0
102,38,3.32,0
103,35,3.32,0
104,36,3.32,0
105,55,3.32,0
106,41,3.32,0
107,40,3.32,0
108,81,2.49,1
109,94,2.49,1
110,49,3.27,0
111,38,3.32,0
112,37,3.32,0
113,46,3.32,0
114,38,3.32,0
115,39,3.32,0
116,40,3.32,0
117,37,3.32,0
118,35,3.32,0
119,38,3.32,0
120,47,3.32,0
121,118,1.98,1
122,223,1.98,1
123,173,1.98,1
124,139,2,1
125,39,3.32,0
126,34,3.32,0
127,45,3.32,0
128,40,2.95,0
129,42,3.32,0
130,39,3.32,0
131,55,3.37,0
132,233,2.45,1
133,192,2.33,1
134,92,2.59,1
135,42,3.38,0
136,44,3.35,0
137,36,3.38,0
138,34,3.38,0
139,41,3.38,0
140,43,3.38,0
141,39,3.38,0
142,36,3.38,0
143,35,3.55,0
144,43,3.55,0
145,34,3.55,0
146,41,3.55,0
147,84,2.52,1
148,38,3.49,0
149,39,3.49,0
150,34,3.49,0
151,39,3.49,0
152,187,2.01,1
153,155,2,0
154,36,3.49,0
155,36,3.49,0
156,36,3.49,0
