Node,Product,Scenario_0,Scenario_1,Scenario_2,Scenario_3,Scenario_4,Scenario_5,Scenario_6,Scenario_7,Scenario_8,Scenario_9,Scenario_10,Scenario_11,Scenario_12,Scenario_13,Scenario_14,Scenario_15,Scenario_16,Scenario_17,Scenario_18,Scenario_19,Scenario_20
Oakville,Fiesta-1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Oakville,Fiesta-2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Oakville,Escape-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oakville,Escape-2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Oakville,Escape-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Oakville,Focus-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
Oakville,Focus-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oakville,Everest,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Windsor,Fiesta-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Windsor,Fiesta-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Windsor,Escape-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Windsor,Escape-2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Windsor,Escape-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Windsor,Focus-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Windsor,Focus-2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Windsor,Everest,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wayne,Fiesta-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Wayne,Fiesta-2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wayne,Escape-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wayne,Escape-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Wayne,Escape-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Wayne,Focus-1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
Wayne,Focus-2,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
Wayne,Everest,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Thailand,Fiesta-1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
Thailand,Fiesta-2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Thailand,Escape-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Thailand,Escape-2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Thailand,Escape-3,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1
Thailand,Focus-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Thailand,Focus-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Thailand,Everest,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Romania,Fiesta-1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Romania,Fiesta-2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
Romania,Escape-1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
Romania,Escape-2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
Romania,Escape-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Romania,Focus-1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1
Romania,Focus-2,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1
Romania,Everest,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1
